Gammal kod	Gammalt namn	Ny kod	Nytt namn	Hel/Del	Datum ikraftträdande	Ändringstyp	Ändring
010201	Björkö-Arholma	018802	Björkö-Arholma	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
010202	Väddö	018803	Väddö	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
010301	Singö	018804	Singö	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
010302	Häverö	018805	Häverö	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
010303	Edebo	018806	Edebo	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
010304	Ununge	018807	Ununge	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
010401	Edsbro	018808	Edsbro	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
010402	Knutby	038028	Knutby	Hel	1971-01-01	22	Kodändrad; både ny läns- och kommuntillhörighet
010403	Bladåker	038029	Bladåker	Hel	1971-01-01	22	Kodändrad; både ny läns- och kommuntillhörighet
010404	Faringe	038030	Faringe	Hel	1971-01-01	22	Kodändrad; både ny läns- och kommuntillhörighet
010501	Almunge	038031	Almunge	Hel	1971-01-01	22	Kodändrad; både ny läns- och kommuntillhörighet
010601	Fasterna	018809	Fasterna	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
010602	Rimbo	018810	Rimbo	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
010603	Rö	018811	Rö	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
010604	Skederid	018812	Skederid	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
010605	Husby-Sjuhundra	018813	Husby-Sjuhundra	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
010606	Gottröra	018814	Gottröra	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
010607	Närtuna	018815	Närtuna	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
010701	Malsta	018816	Malsta	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
010702	Lohärad	018817	Lohärad	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
010703	Estuna	018818	Estuna	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
010704	Söderby-Karl	018819	Söderby-Karl	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
010705	Roslags-Bro	018820	Roslags-Bro	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
010706	Vätö	018821	Vätö	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
010801	Rådmansö	018822	Rådmansö	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
010802	Frötuna	018823	Frötuna	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
010901	Blidö	018824	Blidö	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
011001	Länna	018825	Länna	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
011003	Riala	018826	Riala	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
011101	Lagga	038032	Lagga	Hel	1971-01-01	22	Kodändrad; både ny läns- och kommuntillhörighet
011102	Alsike	038033	Alsike	Hel	1971-01-01	22	Kodändrad; både ny läns- och kommuntillhörighet
011103	Vassunda	038034	Vassunda	Hel	1971-01-01	22	Kodändrad; både ny läns- och kommuntillhörighet
011104	Knivsta	038035	Knivsta	Hel	1971-01-01	22	Kodändrad; både ny läns- och kommuntillhörighet
011105	Östuna	038036	Östuna	Hel	1971-01-01	22	Kodändrad; både ny läns- och kommuntillhörighet
011106	Husby-Långhundra	038037	Husby-Långhundra	Hel	1971-01-01	22	Kodändrad; både ny läns- och kommuntillhörighet
011301	Odensala	019105	Odensala	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
011302	Husby-Ärlinghundra	019106	Husby-Ärlinghundra	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
011303	Skånela	019107	Skånela	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
011304	Norrsunda	019108	Norrsunda	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
011305	Skepptuna	019109	Skepptuna	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
011306	Lunda	019110	Lunda	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
011307	Vidbo	019111	Vidbo	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
011501	Vallentuna	011501	Vallentuna	Hel	2006-01-01	15	Utvidgas
011502	Markim	011501	Vallentuna	Hel	2006-01-01	10	Upphör; till befintlig
011503	Orkesta	011501	Vallentuna	Hel	2006-01-01	10	Upphör; till befintlig
011504	Frösunda	011501	Vallentuna	Hel	2006-01-01	10	Upphör; till befintlig
011505	Kårsta	011507	Össeby	Hel	2006-01-01	10	Upphör; till befintlig
011506	Vada	011507	Össeby	Hel	2006-01-01	10	Upphör; till befintlig
011507	Össeby-Garn	011507	Össeby	Hel	2006-01-01	16	Utvidgas och namnändras
011508	Angarn	011507	Össeby	Hel	2006-01-01	10	Upphör; till befintlig
011601	Kårsta	011505	Kårsta	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
011602	Vada	011506	Vada	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
011603	Össeby-Garn	011507	Össeby-Garn	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
011604	Angarn	011508	Angarn	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
011701	Östra Ryd	018702	Östra Ryd	Hel	1974-01-01	21	Kodändrad; ny kommuntillhörighet
011701	Östra Ryd	011702	Österåker-Östra Ryd	Hel	1992-01-01	10	Upphör; till befintlig
011702	Österåker	018703	Österåker	Hel	1974-01-01	21	Kodändrad; ny kommuntillhörighet
011702	Österåker	011702	Österåker-Östra Ryd	Hel	1992-01-01	16	Utvidgas och namnändras
011703	Ljusterö	018704	Ljusterö	Hel	1974-01-01	21	Kodändrad; ny kommuntillhörighet
011703	Ljusterö	011703	Ljusterö-Kulla	Hel	1998-01-01	16	Utvidgas och namnändras
011704	Roslags-Kulla	018705	Roslags-Kulla	Hel	1974-01-01	21	Kodändrad; ny kommuntillhörighet
011704	Roslags-Kulla	011703	Ljusterö-Kulla	Hel	1998-01-01	10	Upphör; till befintlig
011901	Möja	012002	Möja	Hel	1974-01-01	21	Kodändrad; ny kommuntillhörighet
011902	Djurö	012003	Djurö	Hel	1974-01-01	21	Kodändrad; ny kommuntillhörighet
011903	Nämdö	012004	Nämdö	Hel	1974-01-01	21	Kodändrad; ny kommuntillhörighet
012002	Möja	012003	Djurö, Möja och Nämdö	Hel	2002-01-01	10	Upphör; till befintlig
012003	Djurö	012003	Djurö, Möja och Nämdö	Hel	2002-01-01	16	Utvidgas och namnändras
012004	Nämdö	012003	Djurö, Möja och Nämdö	Hel	2002-01-01	10	Upphör; till befintlig
012005	Ingarö	012006	Gustavsberg-Ingarö	Hel	2010-01-01	10	Upphör; till befintlig
012006	Gustavsberg	012006	Gustavsberg-Ingarö	Hel	2010-01-01	16	Utvidgas och namnändras
012101	Ingarö	012005	Ingarö	Hel	1974-01-01	21	Kodändrad; ny kommuntillhörighet
012102	Gustavsberg	012006	Gustavsberg	Hel	1974-01-01	21	Kodändrad; ny kommuntillhörighet
012201	Boo	018203	Boo	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
012301	Järfälla	012302	Barkarby	Hel	1992-01-01	11	Upphör; till nybildad
012301	Järfälla	012303	Viksjö	Hel	1992-01-01	11	Upphör; till nybildad
012301	Järfälla	012304	Jakobsberg	Hel	1992-01-01	11	Upphör; till nybildad
012301	Järfälla	012305	Kallhäll	Hel	1992-01-01	11	Upphör; till nybildad
012301	Järfälla	012301	Järfälla	Hel	1968-01-01	16	Utvidgas och namnändras
012302	Barkarby	012304	Järfälla	Hel	2010-01-01	10	Upphör; till befintlig
012303	Viksjö	012304	Järfälla	Hel	2010-01-01	10	Upphör; till befintlig
012304	Jakobsberg	012304	Järfälla	Hel	2010-01-01	16	Utvidgas och namnändras
012305	Kallhäll	012304	Järfälla	Hel	2010-01-01	10	Upphör; till befintlig
012401	Hilleshög	012505	Hilleshög	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
012402	Skå	012506	Skå	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
012403	Sånga	012507	Sånga	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
012404	Färentuna	012508	Färentuna	Hel	1971-01-01	21	Kodändrad; ny kommuntillhörighet
012501	Munsö	012501	Adelsö-Munsö	Hel	2006-01-01	16	Utvidgas och namnändras
012502	Adelsö	012501	Adelsö-Munsö	Hel	2006-01-01	10	Upphör; till befintlig
012505	Hilleshög	012509	Färingsö	Hel	1992-01-01	11	Upphör; till nybildad
012506	Skå	012509	Färingsö	Hel	1992-01-01	11	Upphör; till nybildad
012507	Sånga	012509	Färingsö	Hel	1992-01-01	11	Upphör; till nybildad
012508	Färentuna	012509	Färingsö	Hel	1992-01-01	11	Upphör; till nybildad
012601	Huddinge	012602	Trångsund	Del	1974-01-01	12	Ger del till nybildad
012601	Huddinge	012603	S:t Mikael	Del	1989-01-01	13	Ger delar till nybildade
